2018-01-08,20722
2018-06-18,12008
2021-11-13,39402
2018-10-03,20094
2022-02-05,840
2020-05-17,5407
2019-03-19,33992
2018-02-24,34901
2019-08-16,403
2020-01-30,12086
2021-10-28,13109
2020-08-03,16169
2019-04-11,12287
2022-03-14,21394
2019-12-07,10540
2021-10-11,8111
2018-01-26,21939
2019-11-26,26730
2020-10-23,13781
2021-09-25,38991
2019-12-18,27394
2020-11-17,5806
2018-03-17,6519
2019-08-07,22139
2021-02-05,11276
2020-06-09,28714
2019-07-20,40884
2019-12-11,42625
2021-05-31,35140
2021-12-09,40291
2019-12-12,1499
2020-02-15,23222
2019-08-17,39449
2018-09-01,7034
2019-03-03,17301
2018-11-15,9940
2020-06-12,47759
2019-07-18,30999
2021-10-19,47007
2019-06-18,43570
2021-11-14,28524
2018-04-22,4762
2020-06-02,9260
2020-09-10,11294
2021-06-13,1560
2019-04-10,1932
2020-05-03,20876
2022-01-13,12726
2018-05-27,14257
2018-08-27,5953
2018-09-25,16353
2021-03-01,7681
2020-08-13,28197
2019-12-03,32152
2020-08-23,12413
2020-10-10,11701
2021-03-09,6630
2019-09-27,18963
2019-10-31,30722
2018-06-09,346
2021-06-26,35900
2021-08-19,1759
2021-08-28,3055
2022-02-22,6134
2019-12-19,10688
2020-02-11,25877
2019-01-15,38710
2019-02-19,12875
2020-05-05,3723
2021-02-27,2814
2019-07-27,35917
2018-03-23,25116
2019-10-21,6091
2021-05-10,13333
2019-12-20,39561
2020-05-29,969
2018-06-08,21369
2018-12-27,16513
2021-11-24,48939
2021-06-06,6
2020-04-21,5298
2019-06-08,42289
2022-01-21,21723
2019-06-01,29957
2018-07-04,6481
2018-02-28,23137
2018-12-28,5099
2019-03-25,4900
2020-02-23,38970
2021-07-18,15177
2021-11-19,32265
2020-09-12,44090
2018-12-23,46595
2020-02-05,23159
2019-09-26,25213
2021-07-27,24555
2020-02-21,33039
2018-08-12,8997
2018-03-22,7094
2018-01-02,18797
2021-12-16,24354
2020-02-19,19372
2018-09-26,29051
2019-01-31,1399
2020-02-18,14351
2021-09-12,7483
2019-10-05,37712
2020-05-12,41472
2018-03-01,18123
2021-10-18,858
2019-07-06,17859
2021-03-13,6729
2018-12-13,9924
2019-09-19,5618
2019-04-16,5317
2021-11-27,2723
2020-01-26,28951
2020-06-17,40337
2022-03-22,27506
2022-03-01,29718
2019-01-12,39279
2018-01-07,21403
2019-03-29,33629
2020-06-22,46466
2020-07-26,38268
2018-01-05,14002
2021-07-25,6164
2019-12-13,30604
2020-09-10,1706
2020-05-10,40420
2018-03-09,28385
2019-07-06,4116
2018-02-24,26282
2020-08-20,38375
2019-07-17,37307
2018-11-30,23064
2021-12-17,19839
2020-11-11,13694
2022-02-13,40870
2021-03-20,17399
2019-12-14,17389
2020-04-11,34365
2021-02-07,40774
2019-09-18,249
2021-06-02,987
2021-09-13,30211
2019-01-06,31650
2018-05-18,17916
2020-06-03,24513
2018-08-30,46004
2020-02-25,19827
2021-10-28,12331
2020-04-19,2506
2020-10-09,5493
2018-08-19,23568
2020-09-25,22094
2020-06-04,4327
2021-12-24,28963
2021-06-05,11989
2020-09-19,33451
2019-05-18,35997
2021-01-20,9097
2018-04-16,37676
2021-07-27,48430
2022-02-13,24082
2021-07-23,6627
2019-11-26,45432
2020-12-31,41678
2022-02-25,20050
2018-01-11,3795
2019-02-28,19361
2021-07-02,9017
2020-03-09,33949
2019-09-09,38423
2018-06-16,45288
2019-06-10,41665
2020-02-13,33915
2022-02-17,4831
2022-01-25,20164
2019-07-03,26285
2019-10-13,37435
2020-04-27,2036
2018-06-29,10930
2018-03-06,41663
2018-03-09,4085
2021-05-31,46974
2021-10-01,9656
2020-01-28,24724
2021-01-09,43511
2021-06-10,22042
2020-04-04,28315
2019-04-11,26194
2019-01-28,25025
2018-11-25,3279
2018-08-21,26939
2020-03-23,45060
2018-11-06,35629
2021-03-02,873
2018-07-10,47085
2019-03-01,40947
2021-04-22,7914
2021-05-29,19254
2021-09-26,2843
2018-07-21,45132
2018-07-19,30783
2021-01-12,30856
2019-09-15,10820
2019-02-14,46986
2018-11-13,42782
2018-11-12,35166
2021-12-23,28066
2018-11-09,44402
2021-10-04,14686
2021-05-10,14637
2020-09-18,9748
2019-01-22,14409
2019-06-10,18124
2018-05-08,44276
2021-09-01,22316
2022-03-22,32757
2019-01-02,18850
2018-04-10,27123
2022-01-17,17125
2018-05-11,46302
2019-04-04,17807
2019-10-23,4224
2020-04-09,47089
2021-08-26,14702
2022-02-04,23118
2020-08-25,9920
2019-04-19,22735
2021-05-02,16730
2018-07-17,36495
2019-08-09,17884
2019-04-19,42780
2021-11-15,25467
2019-11-02,8172
2018-09-12,48555
2019-10-20,29163
2020-03-27,15332
2019-12-18,8804
2019-11-14,5949
2019-11-19,45613
2019-09-23,25463
2020-10-25,18015
2019-08-11,41848
2020-09-10,31220
2019-04-16,13679
2019-04-07,47909
2018-10-24,1604
2018-06-03,49449
2018-02-06,45456
2018-08-22,42929
2018-07-06,45762
2021-05-02,15853
2018-09-15,4914
2018-07-27,37618
2018-06-06,35164
2018-02-20,1087
2018-01-15,23834
2018-12-10,34692
2021-05-08,29362
2020-09-24,13726
2021-09-04,3625
2021-10-12,34550
2021-03-28,18623
2019-08-13,44929
2018-06-05,10235
2018-03-23,3178
2018-07-22,14237
2021-06-15,9927
2018-02-16,48325
2019-05-07,43851
2019-05-21,24896
2018-11-20,24956
2019-10-24,1726
2020-07-11,22866
2020-08-01,31223
2020-11-13,17917
2019-03-14,41785
2019-01-29,8874
2021-01-25,32625
2018-09-15,21401
2022-03-21,49524
2020-05-06,22590
2020-02-24,25335
2019-12-14,41165
2019-12-21,12215
2019-03-13,27590
2021-07-15,13205
